queue_lag_1h,queue_lag_2h,queue_lag_3h,queue_lag_6h,queue_lag_12h,queue_lag_24h,queue_roll_mean_3h,queue_roll_std_3h,queue_roll_mean_6h,queue_roll_std_6h,queue_roll_mean_12h,queue_roll_std_12h,arrival_lag_1h,arrival_lag_3h,arrival_lag_6h,hour_sin,hour_cos,dow_sin,dow_cos
0.023269366,0.0023584692,0.00068463164,-0.012629106,-0.005332542,0.03239844,0.032269724,-0.007913596,0.17778637,-0.01982878,-0.07142153,-0.08276149,0.0065099904,0.0026645386,-0.02283774,-0.054535195,0.0055907834,0.13381042,0.0030298997
0.033529043,0.0036341497,0.00068463164,0.19998276,-0.007054229,0.06867237,0.042196505,0.020532984,0.19443281,-0.05776578,-0.109166354,-0.07254552,0.00668726,0.0026645386,-0.028231313,0.104925506,0.011617366,0.15305907,0.0027758246
0.039288502,0.0023584692,0.00068463164,-0.11243554,-0.0061944635,0.23373124,0.034376577,-0.0012008226,0.23907782,-0.017269118,-0.23041771,-0.07189574,0.00662569,0.0026645386,0.013627781,0.13764374,0.011502569,0.14564058,-0.0026196742
0.037666984,0.0052204104,0.00068463164,-0.14594883,-0.02237811,0.23659024,0.021782827,0.017438209,0.32619375,0.034795355,-0.22648045,-0.07740699,-0.015394952,0.0005106944,0.0026379004,0.114066936,0.011902208,0.17467277,0.0031598539
0.018334404,0.004943761,0.000837267,0.2005369,-0.0059024524,0.029200817,0.028717272,0.026485708,0.41115585,0.0038675761,-0.21041204,0.01639041,0.0059141093,-0.0008098244,-0.00042557713,-0.055507638,0.0050198734,0.115969524,0.006177161
0.020591214,0.0048899427,0.00068463164,0.19766326,-0.006034145,0.053800005,0.028205719,0.022672422,0.45565957,0.007870375,-0.21153307,-0.06907006,0.006096324,0.0029333392,0.0077561545,-0.05755004,-0.0041323337,0.1196249,0.0023373847
-0.026690364,0.0027842147,0.00068463164,0.17399603,-0.004215056,-0.016763957,0.08162907,-0.089194365,0.32975182,0.017564267,0.00047949888,-0.08467064,0.006298742,0.00042350858,-0.0017311388,-0.04502791,-0.0072116987,0.16854213,-0.005881911
0.026561072,0.0039221896,0.00068463164,-0.04550023,-0.0045019956,0.07281483,0.03879046,-0.08916898,0.28462127,0.022231232,-0.122595094,-0.06653016,0.006084653,0.002618438,0.01007206,-0.042714085,-0.0069397967,0.1787793,-0.0026773443
0.024464935,0.00394473,0.00068463164,6.993214e-05,0.032919165,0.019283995,0.04030403,-0.0025794178,0.18364549,0.027752975,-0.17070219,-0.083865754,-0.016342325,0.0005106944,-0.015885966,-0.028462637,-0.0077868593,0.20092124,0.00020794041
0.024262974,0.0043873573,0.00072370784,0.19314444,-0.006901061,-0.02251194,0.072187595,0.020843405,0.24713546,0.022645647,-0.20313215,-0.013406896,0.0060871965,0.000469609,-0.0034105428,-0.026115017,-0.0063633993,0.118974954,-0.0027788002
-0.021987505,0.0037686848,0.00072370784,0.19045359,-0.0058348575,0.016717011,0.033176627,0.019634854,0.22711433,0.021490062,-0.14732446,-0.014817443,0.0062076887,0.0026645386,0.008788164,-0.018766059,-0.0063633993,0.11030609,0.0002908837
-0.0251619,0.0023855984,0.00068463164,-0.10702062,-0.005288312,0.034407005,0.024986623,0.019097982,0.28176424,-0.0073686466,-0.102853544,-0.0693542,0.0056238514,0.0026645386,-0.0031712595,0.008694279,-0.0073902677,0.15441261,-0.0008696389
-0.02688223,0.0023855984,0.00068463164,-0.042462613,-0.0051924516,0.015831977,0.024935592,0.021349568,0.2755104,-0.005679089,-0.13825728,-0.054385975,0.0056238514,6.291433e-05,-0.00032204867,0.017044188,0.00027298136,0.14937243,-0.0036343145
0.023751006,0.0034345235,0.0007981908,-0.045017052,-0.0046009887,0.017458664,0.03816991,-0.079305634,0.26696312,0.026792781,-0.15353298,-0.03967964,-0.016183,-0.0011884538,-0.020211954,0.018739639,0.011460406,0.1865449,0.001864703
-0.03250114,0.002496029,0.0007981908,-0.044479582,-0.0043904725,0.030848099,0.039207403,-0.0776025,0.25446624,0.021252513,-0.11693328,-0.051883385,0.006771941,-0.0011884538,0.009122547,0.018789604,0.012989957,0.16810645,0.00038796023
0.027600477,0.0036565443,0.0006563292,-0.13376048,-0.005210277,-0.21176367,0.036374073,-0.021505293,0.532742,0.02229125,-0.19853686,-0.06526316,0.006771941,0.0044264505,2.7248752e-05,0.017089255,0.0064439867,0.18373641,0.0004667436
-0.01484729,0.0030258186,0.00068463164,-0.10729637,-0.025618773,0.036391243,0.024206301,0.016009869,0.28039464,0.022507316,-0.16563885,-0.055422626,0.006771941,6.291433e-05,0.0054824464,0.016161505,0.0008702107,0.16728407,-0.0047860006
