MMSI,arrival,berthed,wait_hours,VesselType
636013530,2021-10-04 11:16:14,2021-10-04 11:38:44,0.375,70.0
636013530,2021-10-07 03:00:09,2021-10-07 03:08:19,0.1361111111111111,70.0
636013615,2021-10-05 12:39:29,2021-10-05 14:06:58,1.4580555555555557,80.0
636013693,2021-10-16 02:16:11,2021-10-29 14:14:29,323.9716666666667,70.0
636014059,2021-11-03 01:41:34,2021-11-03 03:01:15,1.3280555555555555,70.0
636014128,2021-10-01 00:01:41,2021-10-01 08:19:34,8.298055555555555,80.0
636014128,2021-10-01 09:09:26,2021-10-01 09:27:35,0.3025,80.0
636014128,2021-10-03 15:52:17,2021-10-03 16:10:35,0.305,80.0
636014128,2021-10-12 15:33:05,2021-10-14 14:57:32,47.4075,80.0
636014128,2021-10-14 15:21:02,2021-10-21 05:41:10,158.33555555555554,80.0
636014128,2021-10-21 06:21:21,2021-10-21 06:40:10,0.3136111111111111,80.0
636014128,2021-10-23 13:57:06,2021-10-23 14:15:36,0.30833333333333335,80.0
636014168,2021-10-12 20:37:04,2021-10-12 22:16:03,1.6497222222222223,70.0
636014168,2021-10-14 15:02:15,2021-10-14 20:05:06,5.0475,70.0
636014168,2021-10-14 20:05:15,2021-10-20 02:30:25,126.41944444444445,70.0
636014168,2021-10-24 20:16:45,2021-10-24 21:11:25,0.9111111111111111,70.0
636014168,2021-10-30 11:39:54,2021-10-30 11:58:15,0.30583333333333335,70.0
636014168,2021-10-30 13:00:04,2021-10-30 18:11:10,5.185,70.0
636014168,2021-10-31 11:00:04,2021-10-31 12:04:37,1.0758333333333334,70.0
636014168,2021-11-01 10:45:54,2021-11-01 11:02:25,0.2752777777777778,70.0
636014169,2021-10-09 12:55:48,2021-10-09 13:15:08,0.32222222222222224,70.0
636014169,2021-10-09 14:30:43,2021-10-09 16:33:43,2.05,70.0
636014169,2021-10-09 18:30:43,2021-10-10 05:21:43,10.85,70.0
636014169,2021-10-10 19:15:43,2021-10-11 05:33:43,10.3,70.0
636014169,2021-10-11 11:24:43,2021-10-11 14:51:43,3.45,70.0
636014169,2021-10-11 18:27:43,2021-10-11 18:54:43,0.45,70.0
636014169,2021-10-11 19:51:43,2021-10-12 11:21:42,15.499722222222223,70.0
636014430,2021-10-01 00:00:02,2021-10-04 03:07:19,75.12138888888889,80.0
636014430,2021-10-04 07:28:37,2021-10-04 07:30:01,0.023333333333333334,80.0
636014430,2021-10-04 07:32:37,2021-10-04 07:33:02,0.006944444444444444,80.0
636014430,2021-10-04 07:38:07,2021-10-04 07:39:02,0.015277777777777777,80.0
636014430,2021-10-04 07:51:37,2021-10-04 07:54:01,0.04,80.0
636014430,2021-10-04 07:59:18,2021-10-04 08:00:02,0.012222222222222223,80.0
636014430,2021-10-04 08:31:38,2021-10-04 08:33:01,0.023055555555555555,80.0
636014430,2021-10-04 09:13:37,2021-10-04 09:15:01,0.023333333333333334,80.0
636014430,2021-10-04 09:21:17,2021-10-04 09:24:01,0.04555555555555556,80.0
636014430,2021-10-05 14:23:15,2021-10-05 14:40:06,0.2808333333333333,80.0
636014430,2021-10-22 23:28:12,2021-10-23 01:22:42,1.9083333333333334,80.0
636014430,2021-10-23 23:54:11,2021-10-23 23:54:44,0.009166666666666667,80.0
636014430,2021-10-25 03:21:21,2021-10-25 03:35:32,0.2363888888888889,80.0
636014430,2021-10-26 14:34:07,2021-10-26 14:52:17,0.30277777777777776,80.0
636014690,2021-10-05 20:18:20,2021-10-05 21:27:59,1.1608333333333334,73.0
636015142,2021-10-23 12:26:00,2021-10-23 14:09:19,1.7219444444444445,80.0
636015142,2021-10-23 14:28:59,2021-10-24 21:38:20,31.155833333333334,80.0
636015142,2021-10-27 00:40:02,2021-10-27 00:56:03,0.26694444444444443,80.0
636015496,2021-10-16 18:59:59,2021-10-22 12:17:05,137.285,70.0
636015557,2021-11-02 06:28:11,2021-11-02 07:35:31,1.1222222222222222,70.0
636015557,2021-11-02 07:49:31,2021-11-02 08:07:50,0.30527777777777776,70.0
636015557,2021-11-02 22:25:17,2021-11-02 22:42:27,0.2861111111111111,70.0
636015629,2021-11-13 18:58:28,2021-11-13 21:13:17,2.2469444444444444,70.0
636015629,2021-11-13 22:12:47,2021-11-14 03:23:15,5.174444444444444,70.0
636015629,2021-11-14 05:20:14,2021-11-14 09:06:14,3.7666666666666666,70.0
636015629,2021-11-14 09:08:13,2021-11-14 12:05:14,2.950277777777778,70.0
636015806,2021-11-04 22:03:36,2021-11-04 23:11:28,1.1311111111111112,70.0
636015806,2021-11-14 11:54:57,2021-11-14 13:00:07,1.086111111111111,70.0
636015806,2021-11-14 17:43:58,2021-11-14 17:45:00,0.017222222222222222,70.0
636015806,2021-11-14 17:48:38,2021-11-14 17:54:00,0.08944444444444444,70.0
636015950,2021-10-12 10:19:49,2021-10-12 11:32:29,1.211111111111111,79.0
636015950,2021-10-12 11:50:50,2021-10-12 12:10:38,0.33,79.0
636015950,2021-10-13 11:05:45,2021-10-13 11:24:34,0.3136111111111111,79.0
636015950,2021-10-18 20:22:04,2021-10-18 21:31:54,1.163888888888889,79.0
636015950,2021-10-18 21:48:16,2021-10-18 22:09:26,0.3527777777777778,79.0
636015950,2021-10-21 13:07:08,2021-10-21 13:27:08,0.3333333333333333,79.0
636016093,2021-10-07 03:02:19,2021-10-07 04:18:49,1.275,80.0
636016179,2021-10-01 00:02:30,2021-10-07 12:04:47,156.03805555555556,70.0
636016179,2021-10-07 12:09:28,2021-10-07 13:05:58,0.9416666666666667,70.0
636016179,2021-10-10 17:02:29,2021-10-10 17:20:19,0.2972222222222222,70.0
636016203,2021-10-12 11:48:53,2021-10-12 13:04:36,1.2619444444444445,70.0
636016203,2021-10-18 11:40:50,2021-10-18 12:01:04,0.3372222222222222,70.0
636016503,2021-10-23 10:38:19,2021-10-23 12:00:00,1.361388888888889,71.0
636016649,2021-11-05 11:54:21,2021-11-05 12:00:01,0.09444444444444444,70.0
636016649,2021-11-05 12:00:20,2021-11-05 12:01:10,0.013888888888888888,70.0
636016649,2021-11-05 12:05:51,2021-11-05 12:06:42,0.014166666666666666,70.0
636016649,2021-11-05 15:30:01,2021-11-05 15:31:09,0.01888888888888889,70.0
636016649,2021-11-05 16:32:30,2021-11-05 16:34:16,0.029444444444444443,70.0
636016649,2021-11-05 16:51:21,2021-11-05 16:52:14,0.014722222222222222,70.0
636016649,2021-11-05 16:55:50,2021-11-05 17:01:16,0.09055555555555556,70.0
636016658,2021-10-21 12:56:57,2021-10-21 14:24:46,1.4636111111111112,80.0
636016658,2021-10-21 19:58:26,2021-10-21 19:58:36,0.002777777777777778,80.0
636017164,2021-10-17 11:15:10,2021-10-17 12:34:40,1.325,70.0
636017730,2021-10-15 05:05:52,2021-10-15 06:31:52,1.4333333333333333,70.0
636017857,2021-10-31 23:57:07,2021-11-01 01:03:27,1.1055555555555556,80.0
636017857,2021-11-01 01:27:07,2021-11-02 12:47:10,35.33416666666667,80.0
636017857,2021-11-05 17:32:22,2021-11-05 22:00:10,4.463333333333333,80.0
636018107,2021-10-22 10:07:41,2021-10-22 11:36:38,1.4825,80.0
636018107,2021-10-22 11:58:09,2021-10-22 12:13:00,0.2475,80.0
636018107,2021-10-24 02:58:47,2021-10-24 03:13:08,0.23916666666666667,80.0
636018107,2021-11-09 13:00:03,2021-11-09 14:00:02,0.9997222222222222,80.0
636018107,2021-11-09 15:44:42,2021-11-09 15:46:10,0.024444444444444446,80.0
636018107,2021-11-10 22:55:51,2021-11-10 23:11:32,0.2613888888888889,80.0
636018107,2021-11-12 06:17:15,2021-11-12 07:00:56,0.7280555555555556,80.0
636018107,2021-11-12 09:08:06,2021-11-12 09:09:56,0.030555555555555555,80.0
636018223,2021-10-30 14:02:17,2021-10-30 15:00:06,0.9636111111111111,70.0
636018223,2021-11-11 01:00:02,2021-11-11 23:40:37,22.676388888888887,70.0
636018223,2021-11-14 05:16:44,2021-11-14 07:48:36,2.531111111111111,70.0
636018225,2021-11-10 21:40:35,2021-11-10 23:28:04,1.791388888888889,70.0
636018225,2021-11-10 23:43:06,2021-11-11 01:02:04,1.316111111111111,70.0
636018225,2021-11-11 04:58:04,2021-11-11 04:59:04,0.016666666666666666,70.0
636018226,2021-11-07 18:57:15,2021-11-07 19:47:45,0.8416666666666667,70.0
636018271,2021-10-06 01:00:06,2021-10-06 05:52:06,4.866666666666666,70.0
636018271,2021-10-11 18:24:27,2021-10-11 19:38:36,1.2358333333333333,70.0
636018276,2021-10-03 18:40:45,2021-10-03 20:16:04,1.5886111111111112,74.0
636018471,2021-10-01 00:00:20,2021-10-01 03:54:19,3.899722222222222,79.0
636018471,2021-10-01 20:54:20,2021-10-02 17:57:00,21.044444444444444,79.0
636018471,2021-11-10 11:54:38,2021-11-10 13:50:48,1.9361111111111111,79.0
636018541,2021-10-30 17:41:24,2021-11-11 13:15:01,283.5602777777778,70.0
636018541,2021-11-11 15:55:44,2021-11-11 15:55:51,0.0019444444444444444,70.0
636018611,2021-10-27 12:09:13,2021-10-27 13:31:05,1.3644444444444443,80.0
636018611,2021-10-27 13:47:44,2021-10-27 14:08:04,0.3388888888888889,80.0
636018611,2021-10-28 08:12:21,2021-10-28 08:31:40,0.3219444444444444,80.0
636018807,2021-11-04 23:44:51,2021-11-06 05:10:11,29.42222222222222,72.0
636018862,2021-10-08 12:29:16,2021-10-08 14:01:16,1.5333333333333334,80.0
636018862,2021-10-08 14:46:08,2021-10-09 00:22:08,9.6,80.0
636018924,2021-10-09 09:20:48,2021-10-09 10:55:48,1.5833333333333333,80.0
636018924,2021-10-10 17:20:53,2021-10-10 17:38:53,0.3,80.0
636018924,2021-10-11 01:34:43,2021-10-11 01:54:22,0.3275,80.0
636018924,2021-10-11 18:34:42,2021-10-11 18:54:28,0.32944444444444443,80.0
636019086,2021-10-01 23:34:16,2021-10-11 11:09:31,227.5875,72.0
636019086,2021-10-15 11:00:06,2021-10-15 15:54:06,4.9,72.0
636019206,2021-10-18 15:37:13,2021-10-28 12:03:41,236.4411111111111,70.0
636019215,2021-11-02 09:21:08,2021-11-02 10:05:58,0.7472222222222222,71.0
636019434,2021-10-27 22:32:27,2021-10-30 13:12:19,62.66444444444444,70.0
636019445,2021-10-26 16:42:46,2021-10-26 18:03:36,1.3472222222222223,70.0
636019982,2021-11-13 10:11:21,2021-11-13 11:19:06,1.1291666666666667,70.0
636019982,2021-11-14 05:00:05,2021-11-14 08:33:07,3.5505555555555555,70.0
636019984,2021-10-15 13:45:10,2021-10-15 14:07:20,0.36944444444444446,70.0
636020196,2021-11-13 11:42:50,2021-11-13 12:58:50,1.2666666666666666,70.0
636020257,2021-10-29 00:03:31,2021-11-05 23:08:48,191.08805555555554,71.0
636020258,2021-10-14 16:08:18,2021-10-27 13:26:53,309.3097222222222,71.0
636020476,2021-10-24 23:37:08,2021-10-25 01:12:48,1.5944444444444446,71.0
636020476,2021-10-25 06:15:03,2021-10-25 09:36:03,3.35,71.0
636020476,2021-10-25 21:48:03,2021-10-25 22:06:03,0.3,71.0
636020476,2021-10-26 11:30:03,2021-10-26 13:21:03,1.85,71.0
636020476,2021-10-26 14:48:03,2021-10-26 18:09:03,3.35,71.0
636020476,2021-10-26 18:12:02,2021-10-26 18:21:03,0.1502777777777778,71.0
636020476,2021-10-27 05:39:03,2021-10-27 08:03:03,2.4,71.0
636020476,2021-10-27 14:12:03,2021-10-27 16:00:03,1.8,71.0
636020476,2021-10-27 21:53:03,2021-10-27 21:54:03,0.016666666666666666,71.0
636020476,2021-10-28 06:24:03,2021-10-28 10:24:03,4.0,71.0
636020476,2021-10-28 14:00:03,2021-10-28 16:00:03,2.0,71.0
636020476,2021-10-28 17:09:03,2021-10-28 18:48:03,1.65,71.0
636020476,2021-10-29 01:12:03,2021-10-29 01:33:03,0.35,71.0
636020476,2021-10-29 01:36:03,2021-10-29 02:21:03,0.75,71.0
636020476,2021-10-31 21:31:37,2021-10-31 21:37:48,0.10305555555555555,71.0
636020476,2021-10-31 21:54:47,2021-10-31 22:16:26,0.36083333333333334,71.0
636020684,2021-11-04 12:01:16,2021-11-04 19:41:15,7.666388888888889,70.0
636020684,2021-11-04 19:41:24,2021-11-12 14:00:04,186.3111111111111,70.0
636020912,2021-10-01 18:00:05,2021-10-01 19:07:05,1.1166666666666667,89.0
636020912,2021-10-01 19:23:25,2021-10-03 16:31:41,45.13777777777778,89.0
636020928,2021-11-13 21:42:42,2021-11-13 22:38:53,0.9363888888888889,79.0
636020985,2021-11-09 16:14:26,2021-11-11 17:01:07,48.778055555555554,72.0
636020985,2021-11-11 17:25:16,2021-11-13 12:00:25,42.58583333333333,72.0
636020985,2021-11-13 16:27:44,2021-11-13 16:27:45,0.0002777777777777778,72.0
636021005,2021-10-07 04:00:05,2021-10-07 05:20:05,1.3333333333333333,70.0
636021005,2021-10-07 06:33:55,2021-10-07 06:33:55,0.0,70.0
636021005,2021-10-07 06:38:05,2021-10-07 06:38:14,0.0025,70.0
636091232,2021-10-01 00:02:25,2021-10-06 00:50:12,120.79638888888888,70.0
636091232,2021-10-06 01:10:12,2021-10-06 06:56:31,5.771944444444444,70.0
636091232,2021-10-12 17:25:52,2021-10-12 19:12:42,1.7805555555555554,70.0
636091232,2021-10-12 19:31:11,2021-10-18 18:20:11,142.81666666666666,70.0
636091232,2021-10-25 08:37:54,2021-10-25 10:01:17,1.3897222222222223,70.0
636091232,2021-10-31 15:38:51,2021-10-31 15:44:45,0.09833333333333333,70.0
636091232,2021-10-31 15:45:41,2021-10-31 15:48:34,0.04805555555555555,70.0
636091385,2021-10-01 00:01:16,2021-10-11 21:11:53,261.1769444444444,70.0
636091385,2021-10-11 21:27:34,2021-10-14 12:39:47,63.20361111111111,70.0
636092311,2021-10-11 04:20:08,2021-10-11 05:36:57,1.2802777777777778,70.0
636092823,2021-11-11 04:00:04,2021-11-11 05:00:04,1.0,74.0
636092823,2021-11-11 08:54:53,2021-11-11 08:57:19,0.04055555555555555,74.0
636092823,2021-11-11 09:39:15,2021-11-11 09:39:18,0.0008333333333333334,74.0
636092872,2021-10-14 18:28:44,2021-10-14 19:51:33,1.3802777777777777,71.0
636092889,2021-11-01 22:59:31,2021-11-02 00:21:26,1.3652777777777778,70.0
